URL Prisma;Año de Publicación;Tipo;Título;Fuente;ISSN;ISBN;Datos de la Publicación;Editor;Autores;Autoría preferente;Autores US;Total Autores;Afiliaciones;Afiliaciones Internacionales Sí/No;Afiliaciones Internacionales;DOI;Cód. WOS;Cód. Scopus;Cód. PubMed;Id. idUS;Cód. Dialnet;Vía Acceso;Dialnet
https://bibliometria.us.es/prisma/publicacion/222064;2023;Revista;Visual thinking and cooperative learning in higher education: HOW does its implementation affect marketing and management disciplines after COVID-19?;International journal of management education;"1472-8117;2352-3565";;21 (2);THE HIGHER EDUCATION ACADEMY;"Maldonado López, Belén;Ledesma Chaves, Pablo;Gil Cordero, Eloy";No;"Ledesma Chaves, Pablo [6572];Gil Cordero, Eloy [6563]";3;Universidad de Sevilla;No;-;10.1016/j.ijme.2023.100797;-;2-s2.0-85150152434;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/218439;2023;Revista;Exploring the Intention to Adopt Sustainable Mobility Modes of Transport among Young University Students;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;"1660-4601;1661-7827";;20 (4);MDPI;"Rodríguez-Rad, Carlos J.;Revilla-Camacho, María-Ángeles;Sánchez-del-Río-Vázquez, María-Elena";Sí;"Rodríguez-Rad, Carlos J. [3654];Revilla-Camacho, María-Ángeles [3508];Sánchez-del-Río-Vázquez, María-Elena [3892]";3;-;-;-;10.3390/ijerph20043196;-;2-s2.0-85148683635;36833892;-;-;Dorada;-
https://bibliometria.us.es/prisma/publicacion/215510;2023;Revista;Alternative modes of entry in franchising;JOURNAL OF BUSINESS RESEARCH;0148-2963;;157;ELSEVIER SCIENCE INC;"Rosado-Serrano, Alexander;Navarro-García, Antonio";Sí;Navarro-García, Antonio [2957];2;"Universidad de Sevilla;University of Puerto Rico-Mayagöez";Sí;University of Puerto Rico-Mayagöez;10.1016/j.jbusres.2022.113599;-;2-s2.0-85144952462;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/215647;2023;Revista;Content is key to non-profit digital media strategy;International Review on Public and Nonprofit Marketing;"1865-1984;1865-1992";;;SPRINGER;"Sánchez Torné, Isadora ;Caro González, Francisco Javier;Pérez Suárez, Macarena";No;"Sánchez Torné, Isadora  [3954];Caro González, Francisco Javier [684];Pérez Suárez, Macarena [3293]";3;-;-;-;10.1007/s12208-022-00358-y;WOS:000909170900002;2-s2.0-85145698549;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/210869;2023;Revista;The relevance of participation behavior, organizational commitment, and attitudinal loyalty to the management of professional associations;JOURNAL OF BUSINESS RESEARCH;0148-2963;;154;ELSEVIER SCIENCE INC;"Rodríguez-Rad, Carlos;Sánchez del Río-Vázquez, María Elena";Sí;"Rodríguez-Rad, Carlos [3654];Sánchez del Río-Vázquez, María Elena [3892]";2;Universidad de Sevilla;No;-;10.1016/j.jbusres.2022.113324;WOS:000868580300014;2-s2.0-85138579645;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/215724;2023;Revista;Reflections on sustainable urban mobility, mobility as a service (MaaS) and adoption models;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;"1660-4601;1661-7827";;20 (1);MDPI;"Rey-Moreno, Manuel;Periáñez-Cristóbal, Rafael;Calvo-Mora, Arturo";Sí;"Rey-Moreno, Manuel [3516];Periáñez-Cristóbal, Rafael [3304];Calvo-Mora, Arturo [570]";3;Universidad de Sevilla;No;-;10.3390/ijerph20010274;WOS:000908914600001;2-s2.0-85145646531;36612594;-;-;Dorada;-
https://bibliometria.us.es/prisma/publicacion/186421;2023;Revista;Export market orientation and export performance in emerging markets: insights from the Peruvian agri-export sector;Journal of Agribusiness in Developing and Emerging Economies;"2044-0839;2044-0847";;13 (1), 70-89;;"Malca, Óscar;Bolaños, Jean Pierre;Rubio Donet, Jorge Luis;Acedo, Francisco";Sí;Acedo, Francisco [14];4;"Universidad del Pacífico;Universidad de Sevilla";Sí;Universidad del Pacífico;10.1108/JADEE-12-2020-0308;WOS:000695948800001;2-s2.0-85114682848;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/216980;2023;Revista;Acceptance factors of Zara's shopping app among fashion consumers during <scp>COVID</scp> ?19;JOURNAL OF CONSUMER BEHAVIOUR;"1472-0817;1479-1838";;;WILEY-BLACKWELL;"Gil?Cordero, Eloy;Ledesma?Chaves, Pablo;Baena?Luna, Pedro";Sí;"Gil?Cordero, Eloy [6563];Ledesma?Chaves, Pablo [6572];Baena?Luna, Pedro [6738]";3;-;-;-;10.1002/cb.2134;WOS:000921289700001;2-s2.0-85147004637;-;11441/142187;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/221876;2023;Revista;Innovación en el periodismo desde perfiles no periodísticos. Estudio comparado de cinco media labs iberoamericanos;DOXA COMUNICACION;"1696-019X;2386-3978";;(37);UNIV SAN PABLO, FAC HUMANIDADES & CIENCIAS COMUNICACION;"González Alba, José Antonio;Caro González, Francisco Javier;Rojas-Torrijos, José Luis;Pérez Curiel, Concha";No;"Caro González, Francisco Javier [684];Rojas-Torrijos, José Luis [3683];Pérez Curiel, Concha [3242]";4;-;-;-;10.31921/doxacom.n37a1839;-;-;-;11441/143491;-;Sin Datos;-
https://bibliometria.us.es/prisma/publicacion/219380;2023;Revista;Effects of co-patenting across national boundaries on patent quality. An exploration in pharmaceuticals;ECONOMICS OF INNOVATION AND NEW TECHNOLOGY;"1043-8599;1476-8364";;;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD;"Acosta, Manuel;Coronado, Daniel;Medina, Jennifer";Sí;Medina, Jennifer [7203];3;Universidad de Cadiz;No;-;10.1080/10438599.2023.2167201;-;2-s2.0-85146459407;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/218076;2023;Revista;Efficiency of automatic text generators for online review content generation;Technological Forecasting and Social Change;"0040-1625;1873-5509";;189;ELSEVIER SCIENCE INC;"Pérez-Castro, A.;Martínez-Torres, M. R.;Toral, S. L.";No;"Martínez-Torres, M. R. [2588];Toral, S. L. [4155]";3;Universidad de Sevilla;No;-;10.1016/j.techfore.2023.122380;-;2-s2.0-85147328011;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/216142;2023;Revista;Modelling the structure of the sports management research field using the BERTopic approach;Retos: nuevas tendencias en educación física, deporte y recreación;"1579-1726;1988-2041";;(47), 648-663;FEDERACION ESPANOLA ASOC DOCENTES EDUCACION FISICA-FEADEF;"Manuel Alonso dos Santos;Manuel J. Sánchez-Franco;Ferran Calabuig Moreno;María Huertas González Serrano";No;Manuel J. Sánchez-Franco [3899];4;-;-;-;-;-;-;-;-;ARTREV 8694372;Sin Datos;Texto Completo
https://bibliometria.us.es/prisma/publicacion/216940;2023;Revista;Innovation and performance in social economy enterprises: the mediating effect of legitimacy for customers;JOURNAL OF BUSINESS RESEARCH;0148-2963;;158;ELSEVIER SCIENCE INC;"Espasandín-Bustelo, Francisco;Rufino-Rus, José Ignacio;Rodríguez-Serrano, M. Ángeles";Sí;"Espasandín-Bustelo, Francisco [1175];Rufino-Rus, José Ignacio [3799];Rodríguez-Serrano, M. Ángeles [3663]";3;Universidad de Sevilla;No;-;10.1016/j.jbusres.2022.113626;-;2-s2.0-85146152760;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/218026;2023;Revista;Opening the black box of big data sustainable value creation: the mediating role of supply chain management capabilities and circular economy practices;INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT;"0960-0035;1758-664X";;;EMERALD GROUP PUBLISHING LTD;"Riggs, Randy;Roldán, José L.;Real, Juan C.;Felipe, Carmen M.";Sí;"Roldán, José L. [3692];Felipe, Carmen M. [7150]";4;-;-;-;10.1108/ijpdlm-03-2022-0098;WOS:000926358600001;2-s2.0-85147359027;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/215648;2023;Revista;Measuring public opinion of education apps;Technological Forecasting and Social Change;"0040-1625;1873-5509";;188;ELSEVIER SCIENCE INC;"Rondan-Cataluña, F. Javier;Peral-Peral, Begoña;Ramírez-Correa, Patricio E.";Sí;"Rondan-Cataluña, F. Javier [3755];Peral-Peral, Begoña [3216]";3;-;-;-;10.1016/j.techfore.2022.122277;-;2-s2.0-85145775301;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/218900;2023;Revista;Where to internationalise and why: Country selection by restaurant franchises;JOURNAL OF RETAILING AND CONSUMER SERVICES;"0969-6989;1873-1384";;72;ELSEVIER SCI LTD;"González-Márquez, Rafael;Rosa-Díaz, Isabel María;Caro-González, Francisco Javier;Galán-González, José Luis";Sí;"Rosa-Díaz, Isabel María [3763];Caro-González, Francisco Javier [684];Galán-González, José Luis [1400]";4;-;-;-;10.1016/j.jretconser.2023.103287;-;2-s2.0-85148355532;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/215160;2023;Revista;Multigroup analysis of more than two groups in PLS-SEM: A review, illustration, and recommendations;JOURNAL OF BUSINESS RESEARCH;0148-2963;;156;ELSEVIER SCIENCE INC;"Cheah, Jun-Hwa;Amaro, Suzanne;Roldán, José L.";Sí;Roldán, José L. [3692];3;-;-;-;10.1016/j.jbusres.2022.113539;WOS:000906543400001;2-s2.0-85144031953;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/217966;2023;Revista;Causal propensity as an antecedent of entrepreneurial intentions;INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL;"1554-7191;1555-1938";;;SPRINGER;"Martín-Navarro, Alicia;Velicia-Martín, Félix;Medina-Garrido, José Aurelio;Rodrigues, Ricardo Gouveia";No;Velicia-Martín, Félix [4320];4;"Universidad de Sevilla;Universidad de Cadiz;Universidade da Beira Interior";Sí;Universidade da Beira Interior;10.1007/s11365-022-00826-1;-;2-s2.0-85146138653;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/218117;2023;Revista;El camino de la verdad en el periodismo local. Una aproximación desde la teoría de redes y del actor-red;Espejo de Monografías de Comunicación Social;2660-4213;;(11), 99-119;;"Caro González, Francisco Javier;Rivas-de-Roca, Rubén";Sí;Caro González, Francisco Javier [684];2;-;-;-;10.52495/c5.emcs.11.p98;-;-;-;11441/142619;ARTREV 8779684;Sin Datos;Texto Completo
https://bibliometria.us.es/prisma/publicacion/219509;2023;Revista;COVID-19 and telemedicine: a netnography approach;Technological Forecasting and Social Change;"0040-1625;1873-5509";;190;ELSEVIER SCIENCE INC;"Arenas Gaitán, Jorge;Ramírez Correa, Patricio E.";Sí;Arenas Gaitán, Jorge [198];2;"Universidad de Sevilla;Universidad Católica del Norte";Sí;Universidad Católica del Norte;10.1016/j.techfore.2023.122420;-;2-s2.0-85148334228;-;-;-;Verde;-
https://bibliometria.us.es/prisma/publicacion/220948;2023;Libro;Buscando la equidad entre los estudiantes: innovación educativa para el trabajo en equipo;Mejorando la enseñanza a través de la innovación educativa;;978-84-1122-686-8;187-196;Dykinson;"Mar Cobeña;María del Carmen Díaz Fernández;Reyes González Relaño;María del Mar González-Zamora";No;"María del Carmen Díaz Fernández [1054];Reyes González Relaño [1792];María del Mar González-Zamora [1808]";4;-;-;-;-;-;-;-;-;ARTLIB 8829780;Sin Datos;-
https://bibliometria.us.es/prisma/publicacion/186700;2022;Revista;The impact of a crisis on entrepreneurial orientation of family firms: the role of organisational decline and generational change;INTERNATIONAL SMALL BUSINESS JOURNAL;"0266-2426;1741-2870";;40 (4), 425-452;SAGE PUBLICATIONS LTD;"Moreno-Menéndez, A. M.;Arzubiaga, U.;Díaz-Moriana, V.;Casillas, J. C.";Sí;"Moreno-Menéndez, A. M. [2828];Casillas, J. C. [744]";4;-;-;-;10.1177/02662426211036694;WOS:000697016700001;2-s2.0-85115088083;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/209313;2022;Revista;A tale of PLS structural equation modelling: episode I— A Bibliometrix citation analysis;SOCIAL INDICATORS RESEARCH;"0303-8300;1573-0921";;164 (3), 1323-1348;SPRINGER;"Ciavolino, Enrico;Aria, Massimo;Cheah, Jun Hwa;Roldán, José Luis";Sí;Roldán, José Luis [3692];4;"Universita del Salento;Università degli Studi di Napoli Federico II;Universiti Putra Malaysia;Universidad de Sevilla";Sí;"Universita del Salento;Università degli Studi di Napoli Federico II;Universiti Putra Malaysia";10.1007/s11205-022-02994-7;WOS:000849303300001;2-s2.0-85137203611;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/192910;2022;Revista;Innovation adaptation and post-entry growth in international new ventures;EUROPEAN RESEARCH ON MANAGEMENT AND BUSINESS ECONOMICS;"2444-8834;2444-8842";;28 (1);ELSEVIER SCI LTD;"Ramos-Hidalgo, Encarnación;Edeh, Jude N.;Acedo, Francisco J.";Sí;"Ramos-Hidalgo, Encarnación [3463];Acedo, Francisco J. [14]";3;-;-;-;10.1016/j.iedeen.2021.100169;WOS:000745254700005;2-s2.0-85122427829;-;11441/137545;ARTREV 8463393;Híbrida;Texto Completo
https://bibliometria.us.es/prisma/publicacion/206034;2022;Revista;A framework for a green accounting system-exploratory study in a developing country context, Colombia;Environment, Development and Sustainability;"1387-585X;1573-2975";;;;"Gonzalez, CC;Pena-Vinces, J";Sí;Pena-Vinces, J [3212];2;-;-;-;10.1007/s10668-022-02445-w;WOS:000805910600002;2-s2.0-85131598539;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/181723;2022;Revista;Social and strategic innovation: extending the varieties of capitalism to asian countries;INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL;"1554-7191;1555-1938";;18 (4), 1453-1474;SPRINGER;"Díaz-Carrión, R.;Franco-Leal, N.";Sí;Díaz-Carrión, R. [6552];2;-;-;-;10.1007/s11365-020-00740-4;WOS:000640138800001;2-s2.0-85104639143;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/202516;2022;Revista;Analysis of the influence of reputation, identity and image on the country brand;ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION;"1012-8255;2056-5127";;35 (2), 163-182;EMERALD GROUP PUBLISHING LTD;"Revilla-Camacho, Maria Angeles;Rodriguez-Rad, Carlos;Garzon, Dolores;Sánchez del Río-Vázquez, María Elena;Prado-Roman, Camilo;Palacios-Florencio, Beatriz";Sí;"Revilla-Camacho, Maria Angeles [3508];Rodriguez-Rad, Carlos [3654];Sánchez del Río-Vázquez, María Elena [3892]";6;"Universidad de Sevilla;University of Valencia;Universidad Rey Juan Carlos;Universidad Pablo de Olavide";No;-;10.1108/ARLA-07-2021-0132;WOS:000780121800001;2-s2.0-85127957380;-;-;-;Bronce;-
https://bibliometria.us.es/prisma/publicacion/207677;2022;Revista;The impact of eWOM source credibility on destination visit intention and online involvement: a case of Chinese tourists;JOURNAL OF HOSPITALITY AND TOURISM TECHNOLOGY;"1757-9880;1757-9899";;13 (5), 855-874;EMERALD GROUP PUBLISHING LTD;"González-Rodríguez, M. Rosario;Díaz-Fernández, M. Carmen;Bilgihan, Anil;Okumus, Fevzi;Shi, Fangfang";No;"González-Rodríguez, M. Rosario [1798];Díaz-Fernández, M. Carmen [1054]";5;"Universidad de Sevilla;Florida Atlantic University;Rosen College of Hospitality Management;Dongbei University of Finance and EcoNomics";Sí;"Florida Atlantic University;Rosen College of Hospitality Management;Dongbei University of Finance and EcoNomics";10.1108/JHTT-11-2021-0321;-;2-s2.0-85134015975;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/189359;2022;Revista;Linking good counter-knowledge with bad counter knowledge: the impact of evasive knowledge hiding and defensive reasoning;Journal of Knowledge Management;"1367-3270;1758-7484";;26 (8), 2038-2060;EMERALD GROUP PUBLISHING LTD;"Cegarra-Navarro, Juan Gabriel;Bolisani, Ettore;Cepeda-Carrión, Gabriel";Sí;Cepeda-Carrión, Gabriel [815];3;"Universidad Politecnica de Cartagena;Università degli Studi di Padova;Universidad de Sevilla";Sí;Università degli Studi di Padova;10.1108/JKM-05-2021-0395;WOS:000710654700001;2-s2.0-85117421809;-;-;-;Sin Datos;-
https://bibliometria.us.es/prisma/publicacion/186408;2022;Revista;The influence of CEO profile on corporate social responsibility companies. A qualitative comparative analysis;CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT;"1535-3958;1535-3966";;29 (2), 356-366;WILEY;"Villalba-Ríos, P.;Barroso-Castro, C.;Vecino-Gravel, J. D.";Sí;"Villalba-Ríos, P. [6929];Barroso-Castro, C. [351];Vecino-Gravel, J. D. [4295]";3;-;-;-;10.1002/csr.2205;WOS:000692937100001;2-s2.0-85114340038;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/205800;2022;Revista;An analysis of export barriers for firms in Brazil;EUROPEAN RESEARCH ON MANAGEMENT AND BUSINESS ECONOMICS;"2444-8834;2444-8842";;28 (3);ELSEVIER SCI LTD;"Mataveli, Mara;Ayala, Juan Carlos;Gil, Alfonso J.;Roldán, José L.";Sí;Roldán, José L. [3692];4;-;-;-;10.1016/j.iedeen.2022.100200;-;2-s2.0-85131934561;-;11441/136383;ARTREV 8564436;Híbrida;Texto Completo
https://bibliometria.us.es/prisma/publicacion/199179;2022;Revista;O turismo cultural e a imagem dos destinos: conceptualizações no âmbito da intervenção sistémica dos museus;ROSA DOS VENTOS-TURISMO E HOSPITALIDADE;2178-9061;;14 (1), 27-57;UNIV CAXIAS SUL, PROGRAMA POS-GRADUACAO & TURISMO;"Salete Maria Patrício Isidoro da Silva;Jesús Manuel López-Bonilla;António Sérgio Araújo de Almeida";No;Jesús Manuel López-Bonilla [2235];3;-;-;-;-;WOS:000756941800001;-;-;-;-;Sin Datos;-
https://bibliometria.us.es/prisma/publicacion/205489;2022;Revista;The effect of collectivism-based organisational culture on employee commitment in public organisations;Socio-Economic Planning Sciences;0038-0121;;83;Pergamon Press;"Triguero-Sánchez, Rafael;Peña-Vinces, Jesús;Ferreira, João J.Matos";Sí;Peña-Vinces, Jesús [3212];3;"Universidad de Sevilla;Universidade da Beira Interior";Sí;Universidade da Beira Interior;10.1016/j.seps.2022.101335;WOS:000862699800012;2-s2.0-85130481505;-;-;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/212886;2022;Revista;Acceptance of Social Networking Sites by Older People before and after COVID-19 Confinement: A Repeated Cross-Sectional Study in Chile, Using the Theory of Planned Behaviour (TPB).;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;"1660-4601;1661-7827";;19 (20);MDPI;"Ramirez-Correa, Patricio;Grandon, Elizabeth;Arenas-Gaitan, Jorge;Rondan-Cataluna, Javier;Ramirez-Santana, Muriel";No;Arenas-Gaitan, Jorge [198];5;-;-;-;10.3390/ijerph192013355;WOS:000875163100001;2-s2.0-85140754891;36293934;-;-;Dorada;-
https://bibliometria.us.es/prisma/publicacion/92340;2022;Revista;Does the isomorphic implementation of the tqm philosophy effectively lead to the simultaneous attainment of legitimacy and efficiency targets?;JOURNAL OF MANAGEMENT & ORGANIZATION;"1833-3672;1839-3527";;28 (6), 1256 -1279;CAMBRIDGE UNIV PRESS;"Carmona-Márquez, Francisco J.;Leal-Rodríguez, Antonio L.;Leal-Millán, Antonio G.;Vázquez-Sánchez, Adolfo E.";Sí;"Leal-Rodríguez, Antonio L. [2157];Leal-Millán, Antonio G. [2155];Vázquez-Sánchez, Adolfo E. [4289]";4;Universidad de Sevilla;No;-;10.1017/jmo.2019.79;-;2-s2.0-85076214608;-;-;-;Sin Acceso Abierto;-
https://bibliometria.us.es/prisma/publicacion/207591;2022;Revista;The relevant motivator elements in becoming an academic entrepreneur;Journal of Social Studies Education Research;1309-9108;;13 (2), 1-23;;"Monge-Agüero, Mauricio;Baena-Luna, Pedro;García-Río, Esther";No;"Baena-Luna, Pedro [6738];García-Río, Esther [6899]";3;"Tecnológico de Costa Rica, Cartago;Universidad de Sevilla";Sí;Tecnológico de Costa Rica, Cartago;-;-;2-s2.0-85133421397;-;11441/135004;-;Sin Datos;-
https://bibliometria.us.es/prisma/publicacion/213318;2022;Revista;Artificial Intelligence and Human Resources Management: A Bibliometric Analysis;APPLIED ARTIFICIAL INTELLIGENCE;"0883-9514;1087-6545";;36 (1), 2145631;TAYLOR & FRANCIS INC;"Palos Sánchez, Pedro Ramiro;Baena Luna, Pedro;Badicu, A.;Infante-Moro, J.C.";Sí;"Palos Sánchez, Pedro Ramiro [5070];Baena Luna, Pedro [6738]";4;-;-;-;10.1080/08839514.2022.2145631;WOS:000889889300001;2-s2.0-85142299417;-;11441/139594;-;Sin Datos;-
https://bibliometria.us.es/prisma/publicacion/197491;2022;Revista;Selecting the appropriate leading journal in Hospitality and Tourism research: a guide based on the topic-journal fit and the JCR impact factor;SCIENTOMETRICS;"0138-9130;1588-2861";;127 (4), 1801-1823;SPRINGER;Barrera-Barrera, Ramón;Sí;Barrera-Barrera, Ramón [328];1;Universidad de Sevilla;No;-;10.1007/s11192-022-04288-8;WOS:000758969500004;2-s2.0-85124876111;-;11441/135919;-;Híbrida;-
https://bibliometria.us.es/prisma/publicacion/209374;2022;Revista;The Transition of Cities towards Innovations in Mobility: Searching for a Global Perspective;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;"1660-4601;1661-7827";;19 (12);MDPI;"Medina-Molina, C;Rey-Tienda, MD;Suarez-Redondo, EM";Sí;Suarez-Redondo, EM [7268];3;-;-;-;10.3390/ijerph19127197;WOS:000818346000001;-;-;-;-;Dorada;-
